uID,RN,Amount Removed (1/16),Reason,Axle Position,Side,WT Start Rim,ES Start Rim,Start Difference,WT Removed,Flange Condition Bool,CDSS,CDFIM,CDSWC
GoldenBC 2015-10-19 10:27:00 L,8755,2.003231496062991,High Flange,2,L,1.0625,1.0,0.0625,4.76763,TRUE,1133.62769,1029.94763,1009.63971
GoldenBC 2015-10-19 10:27:00 R,8755,0.0032314960629911127,High Flange,2,R,1.0625,0.875,0.1875,4.76763,TRUE,1133.62769,1029.94763,1009.63971
GoldenBC 2015-11-07 12:14:00 L,8816,3.0219968503936983,High Flange,1,L,1.1875000000000002,1.188,-0.0004999999999997229,4.78472,TRUE,1158.8396,1032.85962,1015.95551
GoldenBC 2015-11-07 12:14:00 R,8816,2.013996850393699,None,1,R,1.1875000000000002,1.125,0.06250000000000022,4.78472,FALSE,1158.8396,1032.85962,1015.95551
GoldenBC 2015-11-08 06:41:00 L,8816,2.027294488188973,High Flange,5,L,1.0625,1.063,-0.0004999999999999449,3.20563,TRUE,1163.56372,1036.29956,1012.76367
GoldenBC 2015-11-08 06:41:00 R,8816,0.027294488188973176,High Flange,5,R,1.0625,0.938,0.12450000000000006,3.20563,TRUE,1163.56372,1036.29956,1012.76367
GoldenBC 2015-11-10 08:27:00 L,8766,2.029858267716534,High Flange,6,L,1.25,1.313,-0.06299999999999994,1.6222,TRUE,1156.62769,1051.28369,1025.45557
GoldenBC 2015-11-10 08:27:00 R,8766,2.029858267716534,High Flange,6,R,1.25,1.313,-0.06299999999999994,1.6222,TRUE,1156.62769,1051.28369,1025.45557
GoldenBC 2015-12-06 13:06:00 L,8807,10.02655748031496,High Flange,1,L,1.1875000000000002,1.375,-0.18749999999999978,11.15466,TRUE,1170.7876,1057.22363,1003.21564
GoldenBC 2015-12-06 13:06:00 R,8807,9.034557480314959,High Flange,1,R,1.1875000000000002,1.313,-0.12549999999999972,11.15466,TRUE,1170.7876,1057.22363,1003.21564
GoldenBC 2015-12-06 16:44:00 L,8807,7.02447244094488,High Flange,3,L,1.3125,1.438,-0.12549999999999994,7.96365,TRUE,1167.3916,1056.17969,1015.94763
GoldenBC 2015-12-06 16:44:00 R,8807,6.016472440944881,High Flange,3,R,1.3125,1.375,-0.0625,7.96365,TRUE,1167.3916,1056.17969,1015.94763
GoldenBC 2016-02-23 11:41:00 L,9840,2.5134614173228336,High Flange,2,L,1.3125,1.25,0.0625,5.57762,TRUE,1170.46362,1035.70361,1020.71973
GoldenBC 2016-02-23 11:41:00 R,9840,5.521461417322833,High Flange,2,R,1.3125,1.438,-0.12549999999999994,5.57762,TRUE,1170.46362,1035.70361,1020.71973
GoldenBC 2016-02-27 06:36:00 L,8655,0.9972283464566942,High Flange,4,L,1.7500000000000002,1.625,0.12500000000000022,4.7581,TRUE,1168.72363,1061.64771,1044.58374
GoldenBC 2016-02-27 06:36:00 R,8655,0.005228346456693345,High Flange,4,R,1.7500000000000002,1.563,0.18700000000000028,4.7581,TRUE,1168.72363,1061.64771,1044.58374
GoldenBC 2016-02-27 09:48:00 L,8655,0.03421732283464607,High Flange,2,L,1.6875,1.563,0.12450000000000006,3.21662,TRUE,1174.45557,1066.24365,1044.4917
GoldenBC 2016-02-27 09:48:00 L,8655,0.03421732283464607,High Flange,2,L,1.6875,1.563,0.12450000000000006,3.21662,TRUE,1174.45557,1066.24365,1044.4917
GoldenBC 2016-02-27 09:48:00 R,8655,2.034217322834646,High Flange,2,R,1.6875,1.688,-0.0004999999999999449,3.21662,TRUE,1174.45557,1066.24365,1044.4917
